(161, '3b', '2011', '2011Q3b', 'avhupPO6XlY?start=441', 'differentiation'),
(162, '1', '2012', '2012Q1', 'HiuC1qtuJEM?start=0', 'differentiation'),
(163, '2', '2013', '2013Q2', 'Q6OWBXZbDUM?start=0', 'differentiation'),
(164, '13', '2014', '2014Q13', 'Rp7WSiDRQmY?start=0', 'differentiation'),
(165, '1', '2014', '2014Q1', 'l9Zyif2wG_A?start=0', 'differentiation'),
(166, '2', '2015', '2015Q2', '0cLaW4QeCtI?start=0', 'differentiation'),
(167, '1b', '2016', '2016Q1b', 'av88Cfg1IhQ?start=105', 'differentiation'),
(168, '1a', '2016', '2016Q1a', 'av88Cfg1IhQ?start=0', 'differentiation'),
(169, '3', '2017', '2017Q3', '-ViD0FyCoZo?start=0', 'differentiation'),
(170, '1b', '2018', '2018Q1a', 'ghqOOum12s0?start=0', 'differentiation'),
(171, '6', '2007', '2007Q6', '4hetaOAAoHs?start=0', 'maclaurin-series'),
(172, '12', '2008', '2008Q12', 'GFM6UgYMXpo?start=0', 'maclaurin-series'),
(173, '14', '2009', '2009Q14', 'xTSqgnKEfqE?start=0', 'maclaurin-series'),
(174, '9', '2010', '2010Q9', '7_6Z0RGzRtM?start=467', 'maclaurin-series'),
(175, '5', '2011', '2011Q5', 'avhupPO6XlY?start=750', 'maclaurin-series'),
(176, '6', '2012', '2012Q6', 'UOl8vuFDRog?start=0', 'maclaurin-series'),
(177, '9', '2014', '2014Q9', 'KMs1zBdPMWA?start=0', 'maclaurin-series'),
(178, '6', '2016', '2016Q6', 'vbR3u9gq7_w?start=0', 'maclaurin-series'),
(179, '17', '2018', '2018Q17', '7N5nZHzfpKo?start=0', 'maclaurin-series'),
(180, '14', '2007', '2007Q14', 'vpdzupLY2d8?start=0', 'differential-equations'),
(181, '3', '2009', '2009Q3', '0Ryd6rPqt8A?start=0', 'differential-equations'),
(182, '9', '2011', '2011Q9', 'RvdPRAU_Irg?start=298', 'differential-equations'),
(183, '16', '2013', '2013Q16', 'hiQ5iYAV6AI?start=0', 'differential-equations'),
(184, '18', '2015', '2015Q18', 's8T6FTEIeho?start=0', 'differential-equations'),
